Team,Floki's monsters,SenGOAT 2.0,Three & D 🏀🏀,Mello!,The Black Bamba,The Burger Kings,Trust the Process,Agami's Team H2H kp,SqueeZee's Boys,Ariel's Amazing Team,Otzma modi'in,The Big Fundamental,week
Trust the Process,2 : 5,3 : 5,4 : 5,3 : 6,6 : 3,2 : 7, ### ,8 : 1,4 : 5,5 : 4,3 : 6,2 : 7,5
Ariel's Amazing Team,3 : 6,3 : 6,3 : 6,2 : 7,5 : 4,4 : 5,4 : 5,3 : 4,2 : 6, ### ,2 : 7,1 : 7,5
The Black Bamba,3 : 6,2 : 7,3 : 6,1 : 8, ### ,2 : 6,3 : 6,6 : 3,3 : 6,4 : 5,2 : 7,1 : 8,5
Agami's Team H2H kp,3 : 6,3 : 6,2 : 7,1 : 8,3 : 6,2 : 7,1 : 8, ### ,4 : 5,4 : 3,1 : 8,1 : 8,5
Floki's monsters, ### ,6 : 3,7 : 2,6 : 3,7 : 2,7 : 2,7 : 2,4 : 5,7 : 2,7 : 2,7 : 1,7 : 1,6
Agami's Team H2H kp,5 : 4,6 : 3,5 : 4,5 : 3,6 : 3,6 : 2,7 : 2, ### ,5 : 4,6 : 2,5 : 4,7 : 2,6
Three & D 🏀🏀,2 : 7,5 : 4, ### ,5 : 4,6 : 1,6 : 3,7 : 2,4 : 5,5 : 4,7 : 2,5 : 4,7 : 2,6
Mello!,3 : 6,5 : 4,4 : 5, ### ,6 : 3,7 : 2,7 : 1,3 : 5,5 : 4,6 : 3,5 : 4,6 : 3,6
Otzma modi'in,1 : 7,5 : 4,4 : 5,4 : 5,7 : 2,7 : 2,7 : 2,4 : 5,4 : 5,7 : 2, ### ,7 : 2,6
SqueeZee's Boys,2 : 7,4 : 5,4 : 5,4 : 5,5 : 4,7 : 2,5 : 4,4 : 5, ### ,6 : 3,5 : 4,5 : 4,6
SenGOAT 2.0,3 : 6, ### ,4 : 5,4 : 5,5 : 4,5 : 4,6 : 3,3 : 6,5 : 4,5 : 4,4 : 5,6 : 3,6
The Black Bamba,2 : 7,4 : 5,1 : 6,3 : 6, ### ,6 : 3,4 : 5,3 : 6,4 : 5,4 : 5,2 : 7,5 : 4,6
Ariel's Amazing Team,2 : 7,4 : 5,2 : 7,3 : 6,5 : 4,6 : 3,4 : 5,2 : 6,3 : 6, ### ,2 : 7,3 : 5,6
Trust the Process,2 : 7,3 : 6,2 : 7,1 : 7,5 : 4,5 : 4, ### ,2 : 7,4 : 5,5 : 4,2 : 7,5 : 4,6
The Big Fundamental,1 : 7,3 : 6,2 : 7,3 : 6,4 : 5,5 : 4,4 : 5,2 : 7,4 : 5,5 : 3,2 : 7, ### ,6
The Burger Kings,2 : 7,4 : 5,3 : 6,2 : 7,3 : 6, ### ,4 : 5,2 : 6,2 : 7,3 : 6,2 : 7,4 : 5,6
Mello!,7 : 2,5 : 3,6 : 3, ### ,6 : 2,5 : 4,7 : 2,5 : 3,6 : 3,6 : 3,4 : 5,6 : 3,7
SenGOAT 2.0,5 : 4, ### ,7 : 2,3 : 5,6 : 3,4 : 5,6 : 3,6 : 3,7 : 2,7 : 2,5 : 4,4 : 4,7
The Big Fundamental,5 : 3,4 : 4,6 : 2,3 : 6,7 : 2,4 : 5,5 : 4,5 : 4,7 : 2,6 : 3,5 : 4, ### ,7
Otzma modi'in,6 : 3,4 : 5,5 : 4,5 : 4,5 : 4,5 : 4,6 : 2,6 : 3,6 : 3,6 : 3, ### ,4 : 5,7
The Burger Kings,6 : 3,5 : 4,5 : 4,4 : 5,5 : 4, ### ,4 : 5,4 : 5,5 : 4,4 : 5,4 : 5,5 : 4,7
Agami's Team H2H kp,4 : 5,3 : 6,5 : 4,3 : 5,6 : 3,5 : 4,6 : 3, ### ,6 : 3,5 : 4,3 : 6,4 : 5,7
Floki's monsters, ### ,4 : 5,4 : 4,2 : 7,4 : 5,3 : 6,6 : 3,5 : 4,6 : 3,6 : 3,3 : 6,3 : 5,7
Ariel's Amazing Team,3 : 6,2 : 7,5 : 4,3 : 6,5 : 4,5 : 4,5 : 4,4 : 5,6 : 1, ### ,3 : 6,3 : 6,7
The Black Bamba,5 : 4,3 : 6,6 : 3,2 : 6, ### ,4 : 5,5 : 4,3 : 6,5 : 4,4 : 5,4 : 5,2 : 7,7
Three & D 🏀🏀,4 : 4,2 : 7, ### ,3 : 6,3 : 6,4 : 5,5 : 4,4 : 5,5 : 3,4 : 5,4 : 5,2 : 6,7
Trust the Process,3 : 6,3 : 6,4 : 5,2 : 7,4 : 5,5 : 4, ### ,3 : 6,4 : 5,4 : 5,2 : 6,4 : 5,7
SqueeZee's Boys,3 : 6,2 : 7,3 : 5,3 : 6,4 : 5,4 : 5,5 : 4,3 : 6, ### ,1 : 6,3 : 6,2 : 7,7
The Burger Kings,5 : 4,8 : 1,8 : 1,5 : 3,8 : 1, ### ,4 : 5,5 : 4,7 : 2,8 : 1,7 : 2,7 : 2,8
Mello!,6 : 3,8 : 1,6 : 3, ### ,6 : 2,3 : 5,5 : 4,5 : 2,6 : 3,7 : 2,5 : 3,7 : 2,8
Floki's monsters, ### ,6 : 3,7 : 2,3 : 6,8 : 1,4 : 5,5 : 4,5 : 4,6 : 3,8 : 1,5 : 4,6 : 2,8
Trust the Process,4 : 5,6 : 3,6 : 3,4 : 5,6 : 3,5 : 4, ### ,5 : 3,5 : 4,6 : 3,7 : 2,6 : 3,8
SqueeZee's Boys,3 : 6,7 : 2,7 : 2,3 : 6,7 : 2,2 : 7,4 : 5,5 : 4, ### ,6 : 2,5 : 4,7 : 2,8
Agami's Team H2H kp,4 : 5,6 : 3,5 : 3,2 : 5,6 : 2,4 : 5,3 : 5, ### ,4 : 5,6 : 3,7 : 2,5 : 4,8
Otzma modi'in,4 : 5,4 : 5,4 : 5,3 : 5,4 : 5,2 : 7,2 : 7,2 : 7,4 : 5,6 : 3, ### ,4 : 5,8
SenGOAT 2.0,3 : 6, ### ,5 : 4,1 : 8,6 : 3,1 : 8,3 : 6,3 : 6,2 : 7,5 : 4,5 : 4,5 : 4,8
The Big Fundamental,2 : 6,4 : 5,5 : 4,2 : 7,4 : 5,2 : 7,3 : 6,4 : 5,2 : 7,5 : 4,5 : 4, ### ,8
Three & D 🏀🏀,2 : 7,4 : 5, ### ,3 : 6,5 : 4,1 : 8,3 : 6,3 : 5,2 : 7,5 : 4,5 : 4,4 : 5,8
The Black Bamba,1 : 8,3 : 6,4 : 5,2 : 6, ### ,1 : 8,3 : 6,2 : 6,2 : 7,6 : 3,5 : 4,5 : 4,8
Ariel's Amazing Team,1 : 8,4 : 5,4 : 5,2 : 7,3 : 6,1 : 8,3 : 6,3 : 6,2 : 6, ### ,3 : 6,4 : 5,8
Floki's monsters, ### ,6 : 3,6 : 3,6 : 2,6 : 3,6 : 3,7 : 2,6 : 3,6 : 3,7 : 2,5 : 4,7 : 2,9
Otzma modi'in,4 : 5,6 : 2,7 : 2,4 : 5,8 : 1,6 : 3,4 : 5,5 : 4,7 : 2,9 : 0, ### ,6 : 3,9
Mello!,2 : 6,7 : 2,7 : 2, ### ,8 : 1,5 : 4,4 : 5,5 : 4,6 : 3,7 : 2,5 : 4,5 : 4,9
The Big Fundamental,2 : 7,5 : 4,6 : 3,4 : 5,7 : 2,3 : 5,5 : 4,6 : 3,8 : 1,8 : 1,3 : 6, ### ,9
The Burger Kings,3 : 6,5 : 4,5 : 4,4 : 5,6 : 3, ### ,5 : 4,6 : 3,7 : 2,7 : 2,3 : 6,5 : 3,9
Trust the Process,2 : 7,5 : 4,6 : 3,5 : 4,6 : 3,4 : 5, ### ,5 : 4,7 : 2,7 : 2,5 : 4,4 : 5,9
Agami's Team H2H kp,3 : 6,5 : 4,6 : 3,4 : 5,6 : 2,3 : 6,4 : 5, ### ,7 : 2,5 : 4,4 : 5,3 : 6,9
SenGOAT 2.0,3 : 6, ### ,6 : 3,2 : 7,7 : 2,4 : 5,4 : 5,4 : 5,6 : 3,7 : 1,2 : 6,4 : 5,9
Three & D 🏀🏀,3 : 6,3 : 6, ### ,2 : 7,6 : 3,4 : 5,3 : 6,3 : 6,7 : 2,6 : 3,2 : 7,3 : 6,9
SqueeZee's Boys,3 : 6,3 : 6,2 : 7,3 : 6,4 : 4,2 : 7,2 : 7,2 : 7, ### ,6 : 3,2 : 7,1 : 8,9
The Black Bamba,3 : 6,2 : 7,3 : 6,1 : 8, ### ,3 : 6,3 : 6,2 : 6,4 : 4,5 : 4,1 : 8,2 : 7,9
Ariel's Amazing Team,2 : 7,1 : 7,3 : 6,2 : 7,4 : 5,2 : 7,2 : 7,4 : 5,3 : 6, ### ,0 : 9,1 : 8,9
Mello!,5 : 4,4 : 5,7 : 2, ### ,6 : 3,6 : 3,5 : 4,7 : 1,5 : 4,8 : 1,7 : 1,7 : 1,10
Trust the Process,4 : 4,5 : 4,6 : 3,4 : 5,6 : 3,5 : 4, ### ,7 : 2,5 : 4,8 : 1,7 : 2,6 : 2,10
SenGOAT 2.0,5 : 4, ### ,6 : 2,5 : 4,6 : 3,6 : 3,4 : 5,6 : 3,6 : 3,7 : 2,5 : 4,6 : 3,10
Floki's monsters, ### ,4 : 5,5 : 4,4 : 5,4 : 5,5 : 4,4 : 4,6 : 3,5 : 4,7 : 2,5 : 3,6 : 3,10
SqueeZee's Boys,4 : 5,3 : 6,4 : 4,4 : 5,6 : 3,7 : 2,4 : 5,4 : 4, ### ,8 : 1,4 : 5,6 : 3,10
Otzma modi'in,3 : 5,4 : 5,6 : 3,1 : 7,4 : 5,6 : 3,2 : 7,4 : 4,5 : 4,8 : 1, ### ,4 : 3,10
The Black Bamba,5 : 4,3 : 6,4 : 5,3 : 6, ### ,5 : 4,3 : 6,4 : 5,3 : 6,6 : 2,5 : 4,7 : 2,10
Three & D 🏀🏀,4 : 5,2 : 6, ### ,2 : 7,5 : 4,6 : 3,3 : 6,5 : 4,4 : 4,6 : 3,3 : 6,5 : 4,10
Agami's Team H2H kp,3 : 6,3 : 6,4 : 5,1 : 7,5 : 4,4 : 5,2 : 7, ### ,4 : 4,7 : 2,4 : 4,5 : 2,10
The Burger Kings,4 : 5,3 : 6,3 : 6,3 : 6,4 : 5, ### ,4 : 5,5 : 4,2 : 7,7 : 2,3 : 6,6 : 3,10
The Big Fundamental,3 : 6,3 : 6,4 : 5,1 : 7,2 : 7,3 : 6,2 : 6,2 : 5,3 : 6,7 : 2,3 : 4, ### ,10
Ariel's Amazing Team,2 : 7,2 : 7,3 : 6,1 : 8,2 : 6,2 : 7,1 : 8,2 : 7,1 : 8, ### ,1 : 8,2 : 7,10
Mello!,6 : 3,7 : 2,6 : 3, ### ,6 : 3,5 : 4,6 : 2,8 : 1,6 : 3,7 : 2,6 : 3,6 : 3,11
The Burger Kings,5 : 4,8 : 1,5 : 4,4 : 5,8 : 1, ### ,5 : 4,7 : 2,6 : 3,9 : 0,5 : 4,7 : 2,11
Three & D 🏀🏀,7 : 2,6 : 3, ### ,3 : 6,5 : 4,4 : 5,5 : 4,6 : 2,6 : 2,7 : 2,5 : 3,6 : 3,11
Floki's monsters, ### ,7 : 2,2 : 7,3 : 6,6 : 3,4 : 5,5 : 4,7 : 2,4 : 5,8 : 1,5 : 4,6 : 3,11
Trust the Process,4 : 5,7 : 2,4 : 5,2 : 6,6 : 3,4 : 5, ### ,7 : 2,5 : 4,6 : 3,5 : 4,5 : 4,11
Otzma modi'in,4 : 5,7 : 1,3 : 5,3 : 6,6 : 3,4 : 5,4 : 5,4 : 4,3 : 5,7 : 2, ### ,6 : 3,11
SqueeZee's Boys,5 : 4,6 : 3,2 : 6,3 : 6,5 : 4,3 : 6,4 : 5,4 : 4, ### ,6 : 2,5 : 3,5 : 4,11
The Big Fundamental,3 : 6,5 : 3,3 : 6,3 : 6,6 : 2,2 : 7,4 : 5,5 : 4,4 : 5,6 : 3,3 : 6, ### ,11
Agami's Team H2H kp,2 : 7,7 : 2,2 : 6,1 : 8,5 : 4,2 : 7,2 : 7, ### ,4 : 4,6 : 3,4 : 4,4 : 5,11
The Black Bamba,3 : 6,5 : 4,4 : 5,3 : 6, ### ,1 : 8,3 : 6,4 : 5,4 : 5,5 : 4,3 : 6,2 : 6,11
SenGOAT 2.0,2 : 7, ### ,3 : 6,2 : 7,4 : 5,1 : 8,2 : 7,2 : 7,3 : 6,4 : 3,1 : 7,3 : 5,11
Ariel's Amazing Team,1 : 8,3 : 4,2 : 7,2 : 7,4 : 5,0 : 9,3 : 6,3 : 6,2 : 6, ### ,2 : 7,3 : 6,11
Mello!,7 : 2,8 : 1,6 : 3, ### ,8 : 1,7 : 2,6 : 3,7 : 2,5 : 2,7 : 2,8 : 1,7 : 2,12
Three & D 🏀🏀,7 : 2,8 : 1, ### ,3 : 6,6 : 3,5 : 4,6 : 3,3 : 6,7 : 2,8 : 1,7 : 2,7 : 2,12
Agami's Team H2H kp,6 : 3,6 : 3,6 : 3,2 : 7,4 : 5,6 : 3,5 : 4, ### ,6 : 3,6 : 3,8 : 1,7 : 2,12
Trust the Process,5 : 3,5 : 4,3 : 6,3 : 6,5 : 3,5 : 4, ### ,4 : 5,5 : 4,6 : 3,7 : 2,4 : 5,12
The Burger Kings,5 : 4,7 : 2,4 : 5,2 : 7,4 : 5, ### ,4 : 5,3 : 6,3 : 6,6 : 3,7 : 2,5 : 4,12
SqueeZee's Boys,4 : 5,6 : 3,2 : 7,2 : 5,6 : 3,6 : 3,4 : 5,3 : 6, ### ,4 : 5,5 : 4,4 : 5,12
The Big Fundamental,4 : 5,5 : 3,2 : 7,2 : 7,5 : 4,4 : 5,5 : 4,2 : 7,5 : 4,5 : 4,6 : 2, ### ,12
The Black Bamba,5 : 4,4 : 5,3 : 6,1 : 8, ### ,5 : 4,3 : 5,5 : 4,3 : 6,5 : 4,6 : 3,4 : 5,12
Floki's monsters, ### ,5 : 3,2 : 7,2 : 7,4 : 5,4 : 5,3 : 5,3 : 6,5 : 4,5 : 4,4 : 4,5 : 4,12
Ariel's Amazing Team,4 : 5,5 : 4,1 : 8,2 : 7,4 : 5,3 : 6,3 : 6,3 : 6,5 : 4, ### ,4 : 4,4 : 5,12
SenGOAT 2.0,3 : 5, ### ,1 : 8,1 : 8,5 : 4,2 : 7,4 : 5,3 : 6,3 : 6,4 : 5,4 : 4,3 : 5,12
Otzma modi'in,4 : 4,4 : 4,2 : 7,1 : 8,3 : 6,2 : 7,2 : 7,1 : 8,4 : 5,4 : 4, ### ,2 : 6,12
Floki's monsters, ### ,7 : 2,8 : 1,7 : 2,6 : 3,6 : 3,5 : 4,7 : 2,7 : 2,7 : 2,8 : 1,6 : 3,13
The Big Fundamental,3 : 6,7 : 2,6 : 3,9 : 0,7 : 1,5 : 4,6 : 3,7 : 2,6 : 3,8 : 1,6 : 2, ### ,13
The Burger Kings,3 : 6,5 : 3,6 : 3,8 : 1,5 : 4, ### ,4 : 5,6 : 3,6 : 3,5 : 4,7 : 2,4 : 5,13
Trust the Process,4 : 5,5 : 3,7 : 2,7 : 1,4 : 5,5 : 4, ### ,6 : 3,5 : 4,5 : 4,6 : 3,3 : 6,13
Agami's Team H2H kp,2 : 7,6 : 2,7 : 2,6 : 3,5 : 4,3 : 6,3 : 6, ### ,6 : 3,5 : 4,6 : 3,2 : 7,13
The Black Bamba,3 : 6,4 : 4,7 : 2,7 : 2, ### ,4 : 5,5 : 4,4 : 5,4 : 5,5 : 4,6 : 3,1 : 7,13
SenGOAT 2.0,2 : 7, ### ,8 : 1,5 : 3,4 : 4,3 : 5,3 : 5,2 : 6,5 : 4,6 : 3,6 : 3,2 : 7,13
Ariel's Amazing Team,2 : 7,3 : 6,6 : 2,5 : 4,4 : 5,4 : 5,4 : 5,4 : 5,5 : 4, ### ,3 : 6,1 : 8,13
Otzma modi'in,1 : 8,3 : 6,5 : 4,6 : 3,3 : 6,2 : 7,3 : 6,3 : 6,6 : 3,6 : 3, ### ,2 : 6,13
SqueeZee's Boys,2 : 7,4 : 5,3 : 6,6 : 3,5 : 4,3 : 6,4 : 5,3 : 6, ### ,4 : 5,3 : 6,3 : 6,13
Three & D 🏀🏀,1 : 8,1 : 8, ### ,5 : 4,2 : 7,3 : 6,2 : 7,2 : 7,6 : 3,2 : 6,4 : 5,3 : 6,13
Mello!,2 : 7,3 : 5,4 : 5, ### ,2 : 7,1 : 8,1 : 7,3 : 6,3 : 6,4 : 5,3 : 6,0 : 9,13
Otzma modi'in,8 : 1,6 : 2,6 : 3,7 : 2,8 : 1,7 : 2,7 : 2,5 : 4,6 : 3,7 : 2, ### ,6 : 3,14
Agami's Team H2H kp,7 : 1,6 : 3,6 : 3,7 : 2,6 : 3,5 : 3,6 : 3, ### ,7 : 2,8 : 1,4 : 5,4 : 5,14
The Big Fundamental,8 : 1,5 : 4,6 : 3,7 : 2,6 : 3,4 : 5,5 : 4,5 : 4,7 : 2,8 : 1,3 : 6, ### ,14
Trust the Process,8 : 1,5 : 4,6 : 3,7 : 2,6 : 3,4 : 5, ### ,3 : 6,5 : 4,7 : 2,2 : 7,4 : 5,14
The Burger Kings,6 : 3,5 : 4,5 : 4,6 : 3,5 : 4, ### ,5 : 4,3 : 5,7 : 2,7 : 2,2 : 7,5 : 4,14
SenGOAT 2.0,7 : 2, ### ,5 : 4,7 : 2,6 : 3,4 : 5,4 : 5,3 : 6,5 : 4,8 : 1,2 : 6,4 : 5,14
Three & D 🏀🏀,7 : 2,4 : 5, ### ,5 : 3,5 : 3,4 : 5,3 : 6,3 : 6,5 : 4,8 : 1,3 : 6,3 : 6,14
SqueeZee's Boys,7 : 2,4 : 5,4 : 5,5 : 3,6 : 3,2 : 7,4 : 5,2 : 7, ### ,8 : 1,3 : 6,2 : 7,14
The Black Bamba,6 : 3,3 : 6,3 : 5,6 : 3, ### ,4 : 5,3 : 6,3 : 6,3 : 6,7 : 2,1 : 8,3 : 6,14
Floki's monsters, ### ,2 : 7,2 : 7,6 : 3,3 : 6,3 : 6,1 : 8,1 : 7,2 : 7,8 : 1,1 : 8,1 : 8,14
Mello!,3 : 6,2 : 7,3 : 5, ### ,3 : 6,3 : 6,2 : 7,2 : 7,3 : 5,3 : 6,2 : 7,2 : 7,14
Ariel's Amazing Team,1 : 8,1 : 8,1 : 8,6 : 3,2 : 7,2 : 7,2 : 7,1 : 8,1 : 8, ### ,2 : 7,1 : 8,14
The Big Fundamental,4 : 4,5 : 4,7 : 2,6 : 3,6 : 2,5 : 4,4 : 5,5 : 4,7 : 1,6 : 3,5 : 4, ### ,15
